agent_id,item_id,bid
46,42,0.2474
46,58,0.5549
47,26,0.7645
47,27,0.2699
47,41,0.7353
47,53,0.9958
47,60,0.2912
48,22,0.8827
48,34,0.1483
48,36,0.8538
48,41,0.417
48,90,0.024
48,100,0.2012
49,6,0.6858
49,10,0.1756
49,37,0.9836
49,47,0.4139
49,59,0.4827
49,76,0.9323
49,81,0.5206
49,95,0.6229
50,47,0.4753
50,98,0.1467
51,14,0.9864
51,44,0.7213
52,2,0.9229
52,21,0.1115
52,60,0.9272
52,65,0.9177
52,87,0.0977
52,93,0.0919
53,61,0.9542
53,79,0.3842
53,100,0.0561
54,2,0.1182
54,11,0.1416
54,15,0.7013
54,18,0.3073
54,49,0.1
54,53,0.487
54,54,0.1794
54,68,0.18
54,74,0.2356
54,92,0.6449
54,98,0.7404
55,62,0.9802
55,63,0.4707
55,65,0.5311
55,72,0.7318
55,83,0.4548
55,95,0.4259
56,88,0.3531
56,100,0.3166
57,5,0.3169
57,17,0.7385
57,46,0.5384
57,96,0.8262
58,1,0.0024
58,55,0.5182
58,85,0.8146
58,98,0.1078
59,25,0.217
59,52,0.3281
60,28,0.4304
60,34,0.5567
60,57,0.0451
60,61,0.8913
60,75,0.3261
61,3,0.9962
61,27,0.7033
61,66,0.1594
61,75,0.8596
62,23,0.9668
62,54,0.8664
62,71,0.0521
63,46,0.1332
63,64,0.2537
63,81,0.1279
64,3,0.2602
64,8,0.3565
64,32,0.6813
64,45,0.9698
64,54,0.6436
64,91,0.3417
65,9,0.0765
65,10,0.1076
65,41,0.1167
65,57,0.1119
65,58,0.9705
65,70,0.1661
65,81,0.6304
66,8,0.288
66,40,0.0181
66,46,0.0637
66,54,0.8777
66,71,0.1054
67,8,0.1456
67,9,0.8062
67,32,0.2798
67,47,0.3345
67,58,0.7966
67,69,0.651
68,32,0.1533
68,40,0.8943
68,92,0.7868
68,100,0.862
69,1,0.437
69,17,0.0585
69,58,0.4647
69,62,0.9335
69,71,0.7392
69,93,0.6918
69,95,0.4765
70,6,0.8321
70,16,0.4627
70,20,0.2811
70,78,0.1946
70,81,0.7374
71,10,0.3133
71,28,0.3839
71,63,0.5864
71,87,0.2194
71,88,0.223
72,1,0.1152
72,6,0.0297
72,14,0.8429
72,16,0.6775
72,40,0.616
72,71,0.2195
73,6,0.2003
73,19,0.2995
73,51,0.8104
73,60,0.7854
73,81,0.689
74,13,0.1427
74,69,0.1147
74,82,0.1005
74,92,0.675
75,3,0.7724
75,83,0.9234
75,95,0.8469
76,8,0.8699
76,41,0.3814
76,58,0.5007
76,69,0.9216
76,85,0.8131
76,97,0.771
77,27,0.0698
77,61,0.5824
77,65,0.603
78,2,0.3602
78,3,0.8076
78,80,0.0619
79,58,0.726
79,77,0.2409
79,97,0.573
80,13,0.5561
80,36,0.9799
80,42,0.3006
80,90,0.6036
81,2,0.3772
81,29,0.5136
82,17,0.4631
82,24,0.8902
82,52,0.3945
82,73,0.1555
83,5,0.9904
83,25,0.0409
83,37,0.5518
83,65,0.1917
83,80,0.5992
83,83,0.5662
84,11,0.2382
84,12,0.1481
84,21,0.3475
84,68,0.1629
84,83,0.8266
84,86,0.2483
84,90,0.9664
85,14,0.4271
85,50,0.9331
85,88,0.9939
85,89,0.5584
86,9,0.9649
86,16,0.3652
86,34,0.7511
86,36,0.8327
86,70,0.2822
86,78,0.2692
86,83,0.3146
86,85,0.3566
87,58,0.859
87,77,0.8531
88,2,0.1557
88,6,0.6011
88,42,0.7831
88,61,0.4506
88,77,0.8138
88,78,0.8967
89,15,0.2899
89,29,0.3746
89,40,0.1534
89,77,0.7076
90,12,0.0736
90,21,0.1787
90,24,0.9759
90,33,0.023
90,77,0.5114
90,84,0.1799
90,94,0.3289
91,33,0.6448
91,52,0.0478
91,53,0.1051
92,3,0.2161
92,35,0.6619
92,61,0.2662
92,90,0.4746
93,19,0.3526
93,29,0.9786
93,56,0.5201
93,75,0.041
93,82,0.2514
94,31,0.5589
94,46,0.8075
94,73,0.485
94,76,0.6038
95,13,0.4571
95,15,0.3028
95,19,0.9071
95,57,0.852
96,49,0.338
96,65,0.9811
96,73,0.0356
96,80,0.0554
97,9,0.7198
97,14,0.3497
97,58,0.278
97,67,0.2057
97,74,0.6087
98,3,0.7996
98,42,0.1144
98,43,0.6844
98,46,0.7174
98,77,0.9303
98,79,0.609
98,88,0.7263
99,46,0.1208
99,52,0.4314
99,69,0.7387
100,27,0.9025
100,31,0.8325
100,32,0.2031
100,69,0.6345
100,70,0.1369
100,84,0.0673
101,50,0.7222
101,71,0.02
101,93,0.8303
102,3,0.274
102,16,0.497
102,50,0.6904
102,71,0.4242
103,2,0.4163
103,84,0.3657
103,95,0.4421
103,97,0.3104
104,3,0.275
104,5,0.6955
104,19,0.0288
104,35,0.8373
104,59,0.2738
105,4,0.8347
105,21,0.1153
105,29,0.7013
105,32,0.4214
105,40,0.8092
105,60,0.5122
105,77,0.1475
106,32,0.9585
106,43,0.319
106,75,0.2817
106,88,0.3246
106,92,0.7387
107,20,0.9504
107,47,0.4143
107,54,0.3246
107,64,0.3406
107,73,0.8523
107,84,0.6249
107,89,0.9734
108,80,0.0323
108,93,0.4808
109,48,0.2117
109,69,0.9469
110,7,0.6091
110,41,0.7546
111,12,0.7043
111,32,0.6594
111,61,0.7721
111,78,0.1192
111,82,0.5284
111,85,0.4372
111,86,0.5042
112,18,0.5747
112,19,0.8282
112,20,0.2252
112,37,0.6019
112,84,0.8034
113,34,0.872
113,36,0.377
113,40,0.8972
113,87,0.906
113,89,0.1979
113,92,0.7948
114,42,0.7334
114,74,0.2513
115,4,0.1173
115,89,0.5669
115,90,0.9459
116,2,0.4582
116,64,0.548
116,74,0.2437
116,75,0.6122
117,52,0.6096
117,91,0.6062
117,98,0.3848
117,99,0.9051
118,18,0.0388
118,70,0.1043
118,79,0.9468
118,87,0.3029
119,7,0.9221
119,11,0.2404
119,19,0.1417
119,80,0.9336
120,52,0.8055
121,22,0.8622
121,60,0.6881
121,87,0.891
122,2,0.75
122,11,0.3807
122,14,0.6719
122,43,0.0134
122,61,0.7916
122,63,0.0794
122,76,0.1759
123,10,0.7443
123,29,0.3529
123,41,0.1394
123,46,0.7914
123,55,0.3922
123,76,0.308
124,14,0.511
124,55,0.261
124,57,0.6516
124,87,0.2829
125,23,0.219
125,31,0.7655
125,36,0.5897
125,39,0.7018
125,59,0.6034
125,64,0.8046
125,99,0.0312
126,1,0.2742
126,2,0.4451
126,14,0.1201
126,33,0.5632
126,39,0.4325
126,42,0.8974
126,56,0.5632
127,36,0.7936
127,48,0.0311
127,66,0.4913
127,67,0.3196
127,68,0.7006
127,78,0.0387
127,91,0.3098
127,96,0.1284
128,7,0.5857
128,20,0.7757
128,24,0.1827
128,40,0.5252
128,73,0.06
128,78,0.8804
129,9,0.6717
129,26,0.0663
130,5,0.1889
130,35,0.3376
131,6,0.9353
131,73,0.8554
131,76,0.5045
131,79,0.1559
131,93,0.4608
132,22,0.4355
132,31,0.2271
132,64,0.2187
132,66,0.4034
132,77,0.7793
132,93,0.3029
133,3,0.0662
133,68,0.9376
133,86,0.5404
133,93,0.1776
134,1,0.8929
134,3,0.5829
134,25,0.8522
134,62,0.1565
134,65,0.8531
134,81,0.7832
134,99,0.4828
135,20,0.3326
135,35,0.2295
135,40,0.952
135,72,0.1299
135,90,0.2396
136,45,0.4529
136,46,0.3554
136,65,0.8352
136,85,0.9813
137,15,0.9188
137,38,0.2184
137,45,0.523
137,77,0.9981
137,88,0.107
138,65,0.9586
138,70,0.1934
139,39,0.6964
139,51,0.1794
139,58,0.7257
139,70,0.1751
140,36,0.4905
140,52,0.0115
140,53,0.6649
140,54,0.8096
140,55,0.3225
140,89,0.3794
140,90,0.4347
140,91,0.5992
140,92,0.2613
141,11,0.7143
141,20,0.6244
141,27,0.1224
141,33,0.6256
141,76,0.4033
141,84,0.0846
142,6,0.6868
142,53,0.1848
142,56,0.1067
142,72,0.6211
143,17,0.6937
143,21,0.0422
143,30,0.154
143,73,0.8223
144,29,0.5579
144,50,0.8188
144,52,0.3447
144,59,0.8046
144,97,0.6677
145,12,0.9453
145,32,0.4953
145,56,0.9366
145,98,0.8641
145,100,0.8175
146,42,0.2289
146,45,0.7856
146,61,0.5406
146,71,0.3351
146,86,0.5906
146,93,0.1583
146,95,0.3309
146,96,0.6052
147,28,0.6156
147,52,0.6435
147,65,0.673
148,18,0.6458
148,23,0.3204
148,38,0.5215
148,42,0.8386
148,60,0.9598
148,68,0.3539
149,24,0.8016
149,37,0.3399
149,38,0.2041
149,60,0.3663
149,78,0.3049
149,81,0.0899
149,87,0.1651
151,40,0.1492
151,46,0.3028
151,53,0.4156
151,60,0.1509
151,88,0.5719
152,7,0.6649
152,29,0.0972
152,40,0.9415
152,43,0.9901
152,57,0.2282
152,100,0.0266
153,16,0.7198
153,21,0.453
153,26,0.8702
153,34,0.5651
153,42,0.1205
153,43,0.199
153,61,0.9798
153,74,0.6551
153,84,0.2493
153,88,0.6106
154,12,0.4799
154,26,0.7115
154,32,0.4673
154,41,0.8032
154,83,0.1726
154,86,0.4743
155,13,0.3546
155,20,0.8996
155,46,0.4531
155,49,0.5608
155,97,0.2545
156,2,0.1656
156,10,0.1932
156,12,0.5672
156,90,0.5941
157,9,0.7905
157,23,0.1309
157,69,0.4746
157,81,0.8019
158,1,0.5541
158,16,0.6758
158,46,0.8676
158,59,0.329
158,61,0.6089
158,71,0.8578
158,98,0.6862
159,28,0.0895
159,54,0.5781
159,59,0.23
159,61,0.6917
159,73,0.0836
159,86,0.4826
159,97,0.1986
159,99,0.8353
160,9,0.689
160,15,0.6473
160,33,0.773
160,56,0.8029
160,62,0.5947
160,74,0.9778
160,76,0.9436
161,29,0.7343
161,47,0.089
161,87,0.0709
161,90,0.957
162,26,0.3518
162,46,0.4293
162,64,0.334
162,95,0.3285
163,2,0.7171
163,10,0.0827
163,34,0.2825
163,46,0.2306
163,49,0.3927
163,54,0.69
163,56,0.3482
163,94,0.6955
164,8,0.4908
164,35,0.0398
164,40,0.7643
164,69,0.9533
164,81,0.5958
164,82,0.4449
165,18,0.0503
165,65,0.1265
165,67,0.0361
165,81,0.7768
165,85,0.2535
165,100,0.1619
166,57,0.6472
167,100,0.5342
168,25,0.4972
168,30,0.529
168,45,0.7632
168,55,0.0253
168,65,0.3011
169,5,0.3636
169,18,0.9761
169,19,0.1874
170,2,0.66
170,16,0.3184
170,29,0.9333
170,39,0.1371
170,43,0.6227
170,70,0.9591
170,95,0.1211
171,7,0.4209
171,23,0.8579
171,24,0.4067
171,28,0.7391
171,92,0.3282
172,6,0.8942
172,12,0.3268
172,24,0.2781
172,77,0.232
172,86,0.7915
173,42,0.8559
173,60,0.2709
173,63,0.5402
173,70,0.4542
174,26,0.5309
174,28,0.6969
174,33,0.9163
174,60,0.8572
174,72,0.5396
174,78,0.5022
174,84,0.1662
175,41,0.377
175,52,0.2726
175,74,0.7636
175,83,0.7946
176,40,0.6882
176,42,0.0054
176,49,0.6318
177,17,0.9527
177,25,0.8989
177,69,0.4443
177,73,0.2681
178,35,0.8773
178,39,0.4825
178,55,0.2129
178,64,0.9682
178,79,0.1183
178,83,0.113
178,94,0.4839
179,2,0.1418
179,20,0.4989
179,33,0.8304
179,79,0.3085
180,17,0.4744
180,25,0.8272
181,22,0.3282
181,53,0.7949
181,81,0.7444
181,85,0.9585
181,94,0.0591
181,100,0.3277
182,44,0.134
182,54,0.9141
182,62,0.1048
182,75,0.6693
182,79,0.1427
182,95,0.4953
183,2,0.1737
183,21,0.9678
183,31,0.3051
183,62,0.262
183,71,0.758
184,27,0.5946
184,37,0.4648
184,39,0.0958
184,44,0.4614
184,48,0.4515
184,53,0.5093
184,58,0.8236
184,70,0.2568
184,82,0.3423
185,8,0.9707
185,15,0.1058
185,42,0.7492
185,48,0.2916
185,52,0.4037
185,69,0.1577
185,76,0.0659
185,82,0.9027
185,83,0.2081
185,86,0.519
185,93,0.5162
185,100,0.9549
186,55,0.363
186,59,0.3217
187,1,0.2947
187,15,0.6656
187,18,0.4646
187,22,0.0853
187,26,0.7234
187,59,0.622
187,61,0.4992
188,7,0.975
188,46,0.6687
188,62,0.8467
188,79,0.946
188,94,0.0895
189,27,0.1205
189,33,0.9226
189,38,0.1376
189,45,0.6903
189,65,0.7983
189,73,0.6513
189,83,0.9933
189,90,0.8008
190,8,0.9277
190,27,0.9129
190,99,0.2036
191,14,0.1857
191,22,0.5626
191,32,0.4166
191,34,0.6527
191,55,0.2632
191,66,0.5248
191,77,0.1919
191,90,0.8312
192,21,0.1757
192,28,0.1802
192,69,0.2223
192,93,0.9749
193,10,0.7228
193,14,0.7482
193,18,0.0446
193,19,0.7149
193,31,0.259
193,33,0.2252
193,38,0.1678
193,40,0.8096
193,67,0.5374
194,26,0.5711
195,4,0.5079
195,60,0.2316
195,74,0.0468
195,79,0.4
195,91,0.5724
196,4,0.9369
196,24,0.8587
196,29,0.2774
196,67,0.6882
196,74,0.3389
196,85,0.7981
197,24,0.0598
197,29,0.517
197,39,0.8994
197,49,0.4046
197,70,0.4707
197,85,0.6707
197,98,0.3908
198,6,0.1917
198,32,0.718
198,43,0.2823
198,47,0.3804
198,52,0.2585
198,71,0.634
198,90,0.9395
198,97,0.8798
199,17,0.1473
199,36,0.0331
199,38,0.6249
199,56,0.1786
199,65,0.09
199,79,0.9183
199,85,0.3549
200,13,0.4032
200,34,0.417
200,65,0.9475
200,77,0.8968
200,79,0.9789
201,34,0.9877
201,54,0.2479
201,65,0.4962
201,85,0.2983
201,92,0.2709
202,22,0.8139
202,25,0.3463
202,38,0.4919
202,41,0.2458
202,43,0.3115
202,47,0.7611
202,53,0.209
202,58,0.5137
202,65,0.4448
202,90,0.7198
202,95,0.6795
203,13,0.163
203,27,0.4774
203,73,0.3958
203,75,0.044
203,81,0.545
204,5,0.7166
204,26,0.5611
204,45,0.9695
204,57,0.1967
204,61,0.3745
204,63,0.4412
205,13,0.6867
205,14,0.1857
205,22,0.6424
205,38,0.8686
205,57,0.2383
205,74,0.6727
205,90,0.8323
206,7,0.3984
206,10,0.8027
206,11,0.5585
206,14,0.6144
206,100,0.6998
207,33,0.6975
207,45,0.6794
207,54,0.6209
207,83,0.0523
208,9,0.7755
208,17,0.6222
208,26,0.6115
208,28,0.6087
208,33,0.7702
208,49,0.3178
208,50,0.2046
208,62,0.3368
208,65,0.6579
208,72,0.2333
208,80,0.1912
208,82,0.0964
208,98,0.522
209,47,0.4204
209,61,0.8126
209,85,0.4524
210,36,0.1184
210,52,0.7138
210,53,0.4908
210,86,0.3676
210,100,0.4006
211,8,0.6389
211,52,0.5649
211,70,0.4666
212,11,0.9962
212,20,0.1516
212,38,0.9974
212,51,0.8996
212,67,0.1642
212,98,0.2163
213,19,0.4688
213,40,0.014
213,64,0.7984
213,67,0.6714
213,76,0.8637
213,85,0.0332
213,94,0.3264
213,100,0.4089
214,1,0.315
214,5,0.9831
214,13,0.9912
214,18,0.3778
214,23,0.0755
214,48,0.2637
215,35,0.7848
215,55,0.0231
215,62,0.0954
215,98,0.3954
216,17,0.9559
216,21,0.4014
216,39,0.5634
216,51,0.2829
216,56,0.3116
216,67,0.9648
217,4,0.1354
217,7,0.9706
217,78,0.106
218,7,0.8184
218,12,0.7004
218,16,0.6382
218,45,0.2729
218,46,0.7513
218,55,0.853
218,65,0.9295
218,78,0.3001
218,97,0.085
219,1,0.222
219,6,0.9954
219,20,0.8143
219,41,0.0667
219,42,0.3316
219,59,0.2804
219,72,0.282
219,78,0.0319
220,13,0.0203
220,38,0.2213
220,41,0.2154
220,48,0.1512
220,51,0.5765
220,58,0.6461
221,30,0.6292
221,51,0.0289
221,83,0.0984
222,19,0.4068
222,21,0.4133
222,38,0.4408
222,58,0.9107
222,89,0.1971
222,96,0.0674
223,16,0.79
223,32,0.9854
223,44,0.6531
223,46,0.1083
223,61,0.2553
223,81,0.9222
223,91,0.8886
224,44,0.6813
224,53,0.7887
225,41,0.615
225,59,0.0213
225,76,0.0327
226,24,0.8108
226,28,0.3911
226,29,0.3042
226,53,0.9071
226,55,0.0524
226,61,0.9405
226,64,0.5267
226,99,0.3475
227,4,0.3489
227,25,0.7285
227,54,0.6992
227,66,0.2914
228,8,0.873
228,10,0.7184
228,20,0.2329
228,21,0.1413
228,30,0.2752
228,45,0.9522
228,47,0.1361
228,73,0.3804
229,12,0.5079
229,34,0.1749
229,38,0.4579
229,55,0.5622
229,56,0.4217
229,60,0.1327
229,62,0.9925
229,63,0.185
230,21,0.7649
230,42,0.2575
230,47,0.6214
230,61,0.3299
231,3,0.2852
231,14,0.6532
231,51,0.1369
231,54,0.6435
231,63,0.9882
231,64,0.7761
231,100,0.7503
232,12,0.5502
232,30,0.7491
232,35,0.0231
232,88,0.3635
233,27,0.2503
233,38,0.5413
233,60,0.7428
233,69,0.5365
234,57,0.8479
235,4,0.6962
235,17,0.7718
235,23,0.5871
235,31,0.9853
235,54,0.9199
235,87,0.6009
236,20,0.1996
236,26,0.9568
236,52,0.4246
236,69,0.4347
236,79,0.269
237,5,0.4579
237,8,0.762
237,25,0.7008
237,53,0.0959
237,66,0.9764
237,77,0.8248
237,89,0.1301
238,14,0.8399
238,15,0.0795
238,23,0.2939
238,32,0.2162
238,70,0.6143
238,91,0.7532
238,96,0.8721
238,97,0.8666
239,12,0.8511
239,36,0.958
239,38,0.9995
239,80,0.3729
239,85,0.6419
239,90,0.1805
240,23,0.8972
240,45,0.3553
241,25,0.0589
241,27,0.441
241,97,0.5687
242,9,0.9602
242,24,0.6769
242,32,0.3801
242,34,0.7913
242,47,0.8706
242,78,0.0882
242,92,0.3293
244,14,0.9554
244,21,0.7586
244,40,0.0828
244,43,0.0081
244,60,0.245
244,71,0.3328
244,87,0.9811
246,12,0.7752
246,60,0.4615
246,68,0.1049
246,74,0.543
248,22,0.0745
248,39,0.573
248,56,0.5456
248,59,0.2998
248,74,0.7179
249,2,0.2773
249,13,0.1742
249,21,0.8648
249,43,0.1629
249,45,0.8078
249,55,0.2205
249,72,0.0932
250,19,0.3035
250,79,0.7675
